date,global_rev,UCAN_rev,UCAN_subscribers,UCAN_ARPU,total_subscribers
2019-03-31,4520992000,2256851000,66633000,11.45,148863000
2019-06-30,4923116000,2501199000,66501000,12.52,151562000
2019-09-30,5244905000,2621250000,67114000,13.08,158334000
2019-12-31,5467434000,2671908000,67662000,13.22,167090000
2020-03-31,5767691000,2702776000,69969000,13.09,182856000
2020-06-30,6148286000,2839670000,72904000,13.25,192947000
2020-09-30,6435637000,2933445000,73081000,13.4,195151000
2020-12-31,6644442000,2979505000,73936000,13.51,203663000
2021-03-31,7163282000,3170972000,74384000,14.25,207639000
2021-06-30,7341777000,3234643000,73951000,14.54,209180000
2021-09-30,7483467000,3257697000,74024000,14.68,213563000
2021-12-31,7709318000,3308788000,75215000,14.78,221844000
2022-03-31,7867767000,3350424000,74579000,14.91,221641000
2022-06-30,7970141000,3537863000,73283000,15.95,220672000
2022-09-30,7925589000,3601565000,73387000,16.37,223085000
2022-12-31,7852053000,3594791000,74296000,16.23,230747000
2023-03-31,8161503000,3608645000,74398000,16.18,232498000
2023-06-30,8187301000,3599448000,75571000,16.0,238390000
2023-09-30,8541668000,3735133000,77321000,16.29,247153000
2023-12-31,8832825000,3594791000,80128000,16.64,260276000
2024-03-31,9370440000,4224315000,82658000,17.3,269602000
