id,title,major_streaming_providers,is_on_major_streaming
157336,Interstellar,[],False
122917,The Hobbit: The Battle of the Five Armies,[],False
198663,The Maze Runner,[],False
91314,Transformers: Age of Extinction,[],False
177572,Big Hero 6,[],False
260346,Taken 3,[],False
156022,The Equalizer,[],False
244786,Whiplash,['Netflix'],True
131631,The Hunger Games: Mockingjay - Part 1,[],False
147441,Exodus: Gods and Kings,[],False
228150,Fury,['Netflix'],True
270946,Penguins of Madagascar,['Hulu'],True
127585,X-Men: Days of Future Past,[],False
157350,Divergent,[],False
210577,Gone Girl,[],False
172385,Rio 2,[],False
232672,Blended,[],False
119450,Dawn of the Planet of the Apes,['Hulu'],True
280002,The Remaining,['Amazon Prime Video'],True
284293,Still Alice,['Netflix'],True
200727,"Love, Rosie",[],False
228326,The Book of Life,[],False
102382,The Amazing Spider-Man 2,[],False
297270,Tinker Bell and the Legend of the NeverBeast,[],False
184345,A Haunted House 2,[],False
102651,Maleficent,[],False
240832,Lucy,['Amazon Prime Video'],True
238636,The Purge: Anarchy,[],False
169917,A Walk Among the Tombstones,['Netflix'],True
137113,Edge of Tomorrow,[],False
244761,The Captive,[],False
317442,The Last: Naruto the Movie,['Netflix'],True
98566,Teenage Mutant Ninja Turtles,['Amazon Prime Video'],True
184315,Hercules,[],False
190859,American Sniper,[],False
270938,Falcon Rising,['Amazon Prime Video'],True
154400,The Drop,[],False
82702,How to Train Your Dragon 2,[],False
205596,The Imitation Game,[],False
245891,John Wick,[],False
120467,The Grand Budapest Hotel,[],False
282813,The Pyramid,[],False
242582,Nightcrawler,[],False
116149,Paddington,['Amazon Prime Video'],True
196867,Annie,[],False
284276,Cake,[],False
284296,Top Five,[],False
225886,Sex Tape,['Netflix'],True
136797,Need for Speed,[],False
287084,The Town that Dreaded Sundown,[],False
137106,The Lego Movie,[],False
124905,Godzilla,[],False
222935,The Fault in Our Stars,[],False
265712,Stand by Me Doraemon,['Netflix'],True
138103,The Expendables 3,[],False
181533,Night at the Museum: Secret of the Tomb,[],False
284536,The Gambler,[],False
284289,Beyond the Reach,[],False
206487,Predestination,['Netflix'],True
228967,The Interview,[],False
76649,Pompeii,['Netflix'],True
53182,300: Rise of an Empire,['Netflix'],True
289720,Outcast,['Amazon Prime Video'],True
256274,"As Above, So Below",['Netflix'],True
290271,"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends",['Netflix'],True
175112,Tinker Bell and the Pirate Fairy,[],False
288158,The Woman in Black 2: Angel of Death,['Amazon Prime Video'],True
277547,Playing It Cool,[],False
144336,Sabotage,[],False
194662,Birdman or (The Unexpected Virtue of Ignorance),['Hulu'],True
171274,Inherent Vice,[],False
242512,Ouija,['Netflix'],True
283161,The Prophet,[],False
286532,A Merry Friggin' Christmas,[],False
100402,Captain America: The Winter Soldier,[],False
157353,Transcendence,[],False
284427,Who Am I,[],False
250546,Annabelle,['Netflix'],True
197796,Beauty and the Beast,['Amazon Prime Video'],True
283384,The Calling,[],False
126172,Leprechaun: Origins,['Amazon Prime Video'],True
100042,Dumb and Dumber To,['Amazon Prime Video'],True
227159,Horrible Bosses 2,[],False
287590,Saint Seiya: Legend of Sanctuary,[],False
277685,Unfriended,['Netflix'],True
68737,Seventh Son,[],False
188161,A Million Ways to Die in the West,['Amazon Prime Video'],True
297608,The Taking of Deborah Logan,['Amazon Prime Video'],True
259072,Wrong Turn 6: Last Resort,[],False
189,Sin City: A Dame to Kill For,[],False
235271,Addicted,[],False
286987,How to Build a Better Boy,[],False
282297,Cowspiracy: The Sustainability Secret,['Netflix'],True
218043,Left Behind,['Amazon Prime Video'],True
303903,Pokémon the Movie: Diancie and the Cocoon of Destruction,[],False
187017,22 Jump Street,['Netflix'],True
284274,Iron Man & Captain America: Heroes United,[],False
168530,Ride Along,['Amazon Prime Video'],True
238215,The Cobbler,['Hulu'],True
283350,Before We Go,['Amazon Prime Video'],True
239678,This Is Where I Leave You,[],False
86834,Noah,[],False
242224,The Babadook,['Netflix'],True
170687,The Boxtrolls,['Amazon Prime Video'],True
299513,Drumline: A New Beat,[],False
266856,The Theory of Everything,['Amazon Prime Video'],True
97020,RoboCop,[],False
236751,Heaven Is for Real,[],False
242828,When Marnie Was There,[],False
112454,Clown,[],False
205587,The Judge,[],False
137094,Jack Ryan: Shadow Recruit,[],False
283322,The Dead Lands,[],False
170522,Asterix: The Mansions of the Gods,[],False
118340,Guardians of the Galaxy,[],False
113833,The Normal Heart,[],False
289416,Grace,[],False
297596,Dying of the Light,[],False
284995,Scooby-Doo! Frankencreepy,[],False
244458,The Voices,[],False
312526,Alien Outpost,[],False
287663,Star Wars Rebels: Spark of Rebellion,[],False
283707,Black Souls,[],False
243683,Step Up All In,[],False
241848,The Guest,[],False
152760,The Monuments Men,['Hulu'],True
284270,Cub,[],False
82703,Mr. Peabody & Sherman,['Netflix'],True
269148,Samba,['Amazon Prime Video'],True
257346,Avengers Confidential: Black Widow & Punisher,[],False
244506,Camp X-Ray,[],False
286873,Northmen: A Viking Saga,[],False
256731,Bad Country,[],False
284537,Welcome to Me,['Amazon Prime Video'],True
146229,Kristy,[],False
265195,Wild Tales,[],False
298115,Dragons: Dawn of the Dragon Racers,[],False
212778,Chef,[],False
283564,SlugTerra: Return of the Elementals,['Amazon Prime Video'],True
285841,Elephant Song,[],False
244772,The Skeleton Twins,[],False
284689,Testament of Youth,[],False
181886,Enemy,[],False
284284,The Keeping Room,['Amazon Prime Video'],True
49017,Dracula Untold,['Netflix'],True
289153,"Sex, Love & Therapy",[],False
193893,Let's Be Cops,[],False
221731,Rurouni Kenshin Part II: Kyoto Inferno,['Netflix'],True
244783,Song One,['Amazon Prime Video'],True
283701,3 Hearts,[],False
157845,The Rover,[],False
282069,Parasyte: Part 1,[],False
304613,Charlie's Farm,['Amazon Prime Video'],True
285812,Doraemon: New Nobita's Great Demon - Peko and the Exploration Party of Five,[],False
285387,Colt 45,[],False
227306,Unbroken,['Netflix'],True
180299,The Raid 2,['Amazon Prime Video'],True
164251,Serena,['Netflix'],True
262391,Serial (Bad) Weddings,[],False
283559,One Direction: Where We Are - The Concert Film,[],False
250574,Creep,['Netflix'],True
284305,Shrew's Nest,[],False
289727,The Rewrite,['Hulu'],True
143049,Adult World,[],False
146015,The Double,['Amazon Prime Video'],True
284286,Learning to Drive,['Amazon Prime Video'],True
185341,[REC]⁴ Apocalypse,[],False
246741,What We Do in the Shadows,[],False
277432,Happy New Year,['Netflix'],True
151368,Open Windows,['Amazon Prime Video'],True
286192,Lava,[],False
256835,Toy Story That Time Forgot,[],False
254904,The November Man,['Amazon Prime Video'],True
255718,Barbie: The Pearl Princess,[],False
284303,Goodnight Mommy,['Amazon Prime Video'],True
304410,The Bélier Family,[],False
239563,St. Vincent,[],False
246080,Black Sea,[],False
145220,Muppets Most Wanted,[],False
227156,The Giver,[],False
286521,5 Flights Up,[],False
285423,Jarhead 2: Field of Fire,[],False
157849,A Most Wanted Man,[],False
195589,Neighbors,['Amazon Prime Video'],True
290555,Wolves,['Amazon Prime Video'],True
290864,Kung Fu Jungle,['Amazon Prime Video'],True
279229,Sapphire Blue,[],False
119892,The Monkey King,[],False
283686,Out of the Dark,[],False
310972,The Christmas Secret,[],False
301959,Interstellar: Nolan's Odyssey,[],False
241254,The Prince,[],False
155084,13 Sins,['Amazon Prime Video'],True
255343,Escobar: Paradise Lost,[],False
282296,My Old Lady,[],False
225574,Non-Stop,['Netflix'],True
193610,The Other Woman,[],False
287587,Adult Beginners,[],False
157424,Cabin Fever: Patient Zero,[],False
293310,Citizenfour,['Amazon Prime Video'],True
283330,Eden,[],False
302666,10.0 Earthquake,"['Amazon Prime Video', 'Hulu']",True
145221,Monsters: Dark Continent,[],False
284294,Time Out of Mind,[],False
262543,Automata,['Amazon Prime Video'],True
239571,The Best of Me,[],False
288281,A Good Marriage,[],False
297961,Big Driver,['Amazon Prime Video'],True
286256,Tim Maia,[],False
257512,Detective Conan: Dimensional Sniper,[],False
299584,Christmas Under Wraps,[],False
299576,The Nine Lives of Christmas,[],False
244509,Cold in July,[],False
136835,No Good Deed,[],False
246403,Tusk,[],False
157851,Maps to the Stars,[],False
72784,The Loft,[],False
207933,Stonehearst Asylum,['Amazon Prime Video'],True
254473,Brick Mansions,['Amazon Prime Video'],True
286554,Two Night Stand,[],False
294652,Son of a Gun,[],False
241239,A Most Violent Year,[],False
259954,5 to 7,[],False
286668,A Good Man,['Amazon Prime Video'],True
226857,Endless Love,['Netflix'],True
289333,Jim Jefferies: Bare,['Netflix'],True
244534,Happy Christmas,[],False
260516,Lupin the Third: Jigen's Gravestone,[],False
286875,Paper Planes,['Amazon Prime Video'],True
221732,Rurouni Kenshin Part III: The Legend Ends,['Netflix'],True
97370,Under the Skin,[],False
192102,3 Days to Kill,[],False
270343,Love at First Fight,[],False
259611,Frontera,[],False
157847,Joe,['Amazon Prime Video'],True
218836,Planes: Fire & Rescue,[],False
267806,V/H/S: Viral,['Amazon Prime Video'],True
258893,Scooby-Doo! WrestleMania Mystery,[],False
278774,Zapped,[],False
316269,Calculator,[],False
283317,Messi,[],False
283700,Pasolini,[],False
110416,Song of the Sea,[],False
289728,Jingle All the Way 2,[],False
146243,Haunt,[],False
285213,The Pirates,['Amazon Prime Video'],True
273271,Time Lapse,[],False
303542,The Invisible Boy,['Amazon Prime Video'],True
265851,No Tears for the Dead,['Amazon Prime Video'],True
282041,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",[],False
294993,Rise of the Legend,['Amazon Prime Video'],True
287495,Labyrinth of Lies,[],False
268100,Casa Grande,[],False
279992,Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,['Amazon Prime Video'],True
289151,Get Well Soon,[],False
249660,God's Not Dead,[],False
259018,Behaving Badly,[],False
141043,A Long Way Down,['Amazon Prime Video'],True
300706,Let's Kill Ward's Wife,['Amazon Prime Video'],True
79316,Devil's Due,[],False
303483,Once in a Lifetime,['Amazon Prime Video'],True
286654,Reclaim,[],False
285840,The Editor,[],False
227348,Paranormal Activity: The Marked Ones,[],False
100241,"I, Frankenstein",[],False
236399,Flowers in the Attic,[],False
251768,JLA Adventures: Trapped in Time,[],False
296065,Last Shift,[],False
257475,Tamako Love Story,[],False
184346,Deliver Us from Evil,['Hulu'],True
268690,Legend Quest: The Legend of the Guanajuato Mummies,[],False
157825,White Bird in a Blizzard,[],False
244517,God's Pocket,[],False
224141,Into the Woods,[],False
290729,Sniper: Legacy,['Amazon Prime Video'],True
287426,Shelter,[],False
278236,X+Y,[],False
261470,Sorry If I Call You Love,[],False
235260,Son of God,[],False
280690,Kick,[],False
256917,The Water Diviner,[],False
282631,The Admiral: Roaring Currents,[],False
298093,Poker Night,[],False
242095,The Signal,[],False
293299,Feast,[],False
216282,Into the Storm,[],False
157099,Better Living Through Chemistry,[],False
283726,The New Girlfriend,[],False
242042,Barefoot,['Amazon Prime Video'],True
242310,Rage,[],False
286817,Anatomy of a Love Seen,[],False
157832,Calvary,[],False
299582,A Royal Christmas,[],False
244566,Life After Beth,[],False
157829,The Disappearance of Eleanor Rigby: Them,['Amazon Prime Video'],True
203834,Jessabelle,[],False
283704,Leopardi,[],False
244267,I Origins,[],False
249164,If I Stay,[],False
268060,Road to Paloma,[],False
188207,The Legend of Hercules,['Netflix'],True
242643,Batman: Assault on Arkham,[],False
114155,Effie Gray,[],False
300467,Dark Was the Night,['Amazon Prime Video'],True
277355,Everly,[],False
286519,Boychoir,[],False
217993,Justice League: War,[],False
240483,Robot Overlords,[],False
243684,"Men, Women & Children",[],False
152790,The Angriest Man in Brooklyn,[],False
306650,Kajaki,[],False
260535,The Little Rascals Save the Day,[],False
297222,PK,['Netflix'],True
289891,Jackie & Ryan,['Amazon Prime Video'],True
257648,The White Haired Witch of Lunar Kingdom,[],False
271185,Ask Me Anything,[],False
272435,Gemma Bovery,['Amazon Prime Video'],True
260063,Seal Team Eight: Behind Enemy Lines,[],False
298504,Vampire Sisters 2: Bats in the Belly,[],False
241863,As the Gods Will,[],False
259910,Marvel Studios: Assembling a Universe,[],False
254474,Zombeavers,['Amazon Prime Video'],True
305091,That Sugar Film,['Amazon Prime Video'],True
265177,Mommy,[],False
157823,Night Moves,['Amazon Prime Video'],True
114750,Dear White People,[],False
312791,GirlHouse,[],False
227783,The Nut Job,[],False
267793,Petals on the Wind,[],False
272692,The Possession of Michael King,[],False
228194,The Hundred-Foot Journey,[],False
252680,Moms' Night Out,[],False
188166,Blue Ruin,['Amazon Prime Video'],True
271467,School Dance,[],False
298729,Do You See Me?,[],False
260234,"Monster High: Frights, Camera, Action!",[],False
262338,Good People,['Amazon Prime Video'],True
289712,Mockingbird,[],False
110390,A Pigeon Sat on a Branch Reflecting on Existence,[],False
184098,Think Like a Man Too,[],False
308571,Bill Burr: I'm Sorry You Feel That Way,['Netflix'],True
293982,Warsaw 44,[],False
269494,A Hard Day,[],False
291692,Brotherhood of Blades,[],False
241842,Dead Snow 2: Red vs. Dead,['Amazon Prime Video'],True
303623,Hello Ladies: The Movie,[],False
305932,Expelled,[],False
317182,Doctor Who: Last Christmas,[],False
226486,Tammy,[],False
252171,A Girl Walks Home Alone at Night,[],False
279254,Ghost in the Shell: Arise - Border 4: Ghost Stands Alone,[],False
187596,Walk of Shame,['Amazon Prime Video'],True
241843,Cooties,[],False
222899,About Last Night,[],False
242090,The One I Love,['Amazon Prime Video'],True
169607,Finding Vivian Maier,[],False
290727,Monster High: Freaky Fusion,[],False
266285,The Salvation,[],False
277597,Mercenaries,[],False
156597,Stage Fright,[],False
270771,The Last Survivors,[],False
244688,The Hungover Games,['Amazon Prime Video'],True
85350,Boyhood,[],False
253980,Marvel One-Shot: All Hail the King,[],False
192145,Third Person,['Amazon Prime Video'],True
228970,Wild,['Hulu'],True
282983,Magical Girl,[],False
292177,My Little Pony: Equestria Girls - Rainbow Rocks,[],False
289984,Winterkartoffelknödel,[],False
82657,Flight 7500,['Amazon Prime Video'],True
204922,Before I Go to Sleep,['Amazon Prime Video'],True
233470,Jamesy Boy,[],False
239562,The Single Moms Club,[],False
287524,Fear Clinic,[],False
